Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
112,allsmiles,,3,0,3,3,0,3,5,0.334163,0.351363,0,0.013098,0.013098,35,0.000199,0,1,3,0.086175
113,alltheladds,,0,3,3,0,3,3,5,0.317147,0.331515,0,0.003783,0.003783,67,0.000085,0,1,3,0
114,alltheyoungdudeswithwinterfuelallowance,,2,0,2,2,0,2,5,0.299614,0.30845,0,0.001914,0.001914,20,0.000157,0,1,1,0.016588
115,alltime,,4,1,5,4,1,5,5,0.330645,0.348679,0,0.012299,0.012299,21,0.000248,0,1,10,0.067833
116,alone,,3,2,5,3,2,5,6,0.280182,0.290861,0,0.002889,0.002889,35,0.00026,0,1,10,0.024579
117,AlphaPapa,,2,0,2,2,0,2,4,0.352436,0.363878,0,0.007635,0.007635,20,0.00021,0,1,1,0.051518
118,already,,1,1,2,1,1,2,5,0.312557,0.327488,0,0.003023,0.003023,29,0.000135,0,1,1,0.001747
119,altj,,3,1,4,3,1,4,4,0.373829,0.39062,0.000013,0.013484,0.013484,20,0.000165,0,0.833333,5,0.09891
120,altrock,,2,0,2,2,0,2,5,0.311568,0.331933,0,0.007828,0.007828,21,0.000276,0,1,1,0.06153
121,Alwatan_Live,,2,3,5,2,3,5,5,0.311919,0.320483,0,0.003051,0.003051,59,0.000129,0,1,10,0.012892
122,always,,4,2,6,4,2,6,6,0.285825,0.295314,0,0.002634,0.002634,52,0.000271,0,1,15,0.018608
123,alwaysafuckup,,1,0,1,1,0,1,5,0.28256,0.293184,0,0.000763,0.000763,64,0.000124,0,0,0,0.012907
124,alwaysamazing,,1,1,2,1,1,2,4,0.352632,0.364141,0,0.008013,0.008013,21,0.000113,0,1,1,0.048919
125,alwaysfaithful,,1,3,4,1,3,4,5,0.311612,0.332159,0,0.008237,0.008237,21,0.000103,0,1,6,0.000584
126,AM,,5,8,13,6,8,14,4,0.356809,0.370163,0.000122,0.012722,0.012722,5,0.000198,0,0.472727,26,0.073966
127,amandapalmer,,3,0,3,3,0,3,5,0.294415,0.301991,0,0.001115,0.001115,20,0.00035,0,1,3,0.012412
128,amantebeachclub,,2,0,2,2,0,2,5,0.319804,0.333578,0,0.003128,0.003128,1,0.000138,0,1,1,0.030618
129,amazeballs,,8,1,9,8,1,9,4,0.352436,0.367227,0.000235,0.016251,0.016251,35,0.000524,0,0.777778,28,0.112041
130,amazing,,142,112,254,143,112,255,4,0.429403,0.464149,0.045799,0.130971,0.130971,1,0.005015,0,0.037861,1169,0.5516
131,amazingearth,,1,11,12,1,11,12,5,0.320986,0.341136,0,0.01074,0.01074,2,0.000149,0,1,66,0.058409
132,AmazingTiming,,2,0,2,2,0,2,4,0.352604,0.364103,0,0.007981,0.007981,20,0.000136,0,1,1,0.053924
133,Amazon,,0,2,2,0,2,2,5,0.285107,0.294222,0,0.001147,0.001147,67,0.000085,0,1,1,0
134,ambulance,,2,2,4,2,2,4,5,0.290742,0.300858,0,0.002747,0.002747,67,0.00011,0,1,6,0.008904
135,America,,3,13,16,3,14,17,5,0.320312,0.329667,0.000012,0.007213,0.007213,59,0.000126,0,0.625,75,0.00587
136,amg,,4,3,7,4,3,7,6,0.267828,0.27672,0,0.001501,0.001501,52,0.00015,0,1,21,0.011699
137,amigas,,3,6,9,3,6,9,5,0.333861,0.351754,0,0.016796,0.016796,3,0.000117,0,1,36,0.004894
138,amigos,,1,1,2,1,1,2,5,0.311568,0.331933,0,0.007828,0.007828,21,0.000121,0,1,1,0.000584
139,Amortality,,1,0,1,1,0,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000113,0,0,0,0.048919
140,amsterdam,,0,2,2,0,2,2,1,1,1,0,0,0,34,0.000085,3,1,1,0
141,amwriting,,0,1,1,0,1,1,5,0.285089,0.294109,0,0.001119,0.001119,67,0.000085,0,0,0,0
142,an,,12,3,15,12,3,15,5,0.30965,0.321195,0,0.007792,0.007792,1,0.000287,0,1,105,0.016854
143,analytics,,2,1,3,2,1,3,5,0.293323,0.305093,0,0.002171,0.002171,67,0.000128,0,1,3,0.018035
144,ancol,,5,8,13,5,8,13,5,0.335887,0.35283,0.000119,0.01513,0.01513,68,0.000173,0,0.525641,41,0.041951
145,and,,8,1,9,8,1,9,5,0.314556,0.325858,0,0.007789,0.007789,29,0.000383,0,1,36,0.046519
146,AndOneHellOfANight,,2,0,2,2,0,2,6,0.267747,0.276156,0,0.001315,0.001315,52,0.000144,0,1,1,0.010337
147,andreas,,2,2,4,2,2,4,5,0.299959,0.311883,0,0.003661,0.003661,29,0.000132,0,1,6,0.001232
148,Andtheirfarm,,3,0,3,3,0,3,5,0.324538,0.334094,0,0.003753,0.003753,20,0.000288,0,1,3,0.031431
149,andymurray,,1,2,3,1,2,3,5,0.30883,0.319313,0,0.002493,0.002493,59,0.000104,0,1,1,0.017451
150,Angel,,8,5,13,8,5,13,5,0.338817,0.352179,0,0.023677,0.023677,3,0.00028,0,1,78,0.10648
151,angelites,,1,0,1,1,0,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000113,0,0,0,0.048919
152,anglesea,,0,1,1,0,1,1,5,0.311546,0.33182,0,0.007638,0.007638,21,0.000085,0,0,0,0
153,animation,,2,0,2,2,0,2,5,0.292509,0.301283,0,0.001566,0.001566,5,0.000191,0,1,1,0.009955
154,anklesocks,,5,5,10,5,5,10,5,0.320568,0.336126,0,0.008298,0.008298,68,0.000174,0,1,45,0.047418
155,annabells,,3,1,4,3,1,4,5,0.328073,0.337613,0,0.007208,0.007208,29,0.000204,0,1,6,0.048997
156,annawintour,,2,4,6,2,4,6,5,0.317807,0.327766,0,0.006768,0.006768,1,0.000125,0,1,15,0.016167
157,anniversary,,2,0,2,2,0,2,4,0.35727,0.368413,0,0.0099,0.0099,20,0.00016,0,1,1,0.067193
158,annoyed,,11,2,13,11,2,13,5,0.327879,0.338065,0.000555,0.003899,0.003899,4,0.000593,0,0.717949,56,0.028495
159,ANTHEM,,5,2,7,6,2,8,4,0.35892,0.372328,0.000372,0.010816,0.010816,20,0.000286,0,0.380952,8,0.072533
160,Anticipate,,1,2,3,1,2,3,5,0.298947,0.308623,0,0.002888,0.002888,26,0.000109,0,1,3,0.000584
161,Antidotes,,0,1,1,0,1,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000085,0,0,0,0
162,antifa,,3,0,3,3,0,3,5,0.293323,0.302887,0,0.001479,0.001479,59,0.000305,0,1,3,0.018021
