Source,Target,Type,Weight
2797,1663,undirected,1
2906,1663,undirected,1
1570,1617,undirected,1
1570,3867,undirected,2
1617,3867,undirected,1
1589,1570,undirected,120
1312,2170,undirected,5
1312,722,undirected,1
1312,1536,undirected,1
1312,1783,undirected,1
2170,722,undirected,1
2170,1536,undirected,1
2170,1783,undirected,1
722,1536,undirected,1
722,1783,undirected,1
1536,1783,undirected,1
333,3577,undirected,3
333,4083,undirected,3
333,601,undirected,3
333,3650,undirected,1
3577,4083,undirected,3
3577,601,undirected,3
3577,3650,undirected,1
4083,601,undirected,3
4083,3650,undirected,1
601,3650,undirected,1
175,749,undirected,3
1493,1570,undirected,4
1357,1663,undirected,1
1357,3868,undirected,1
1357,1360,undirected,1
1357,1084,undirected,1
1663,3868,undirected,1
1663,1360,undirected,1
3868,1360,undirected,1
3868,1084,undirected,1
1360,1084,undirected,1
2259,1312,undirected,4
2259,3693,undirected,1
1312,3693,undirected,1
1589,2824,undirected,9
2824,717,undirected,10
21,1663,undirected,1
717,1663,undirected,3
1589,2768,undirected,1
2660,1522,undirected,1
2660,587,undirected,1
1522,587,undirected,1
1788,1312,undirected,1
3996,1661,undirected,1
1085,3808,undirected,1
1085,1663,undirected,1
3808,1663,undirected,6
3061,2148,undirected,2
2148,1312,undirected,2
2709,1589,undirected,123
717,3021,undirected,1
1589,3021,undirected,6
3311,3979,undirected,1
3311,1589,undirected,3
3311,1570,undirected,1
3979,1589,undirected,3
3979,1570,undirected,2
3820,1312,undirected,4
2961,1589,undirected,1
333,3644,undirected,2
3577,3644,undirected,2
4083,3644,undirected,2
601,3644,undirected,2
1321,1589,undirected,1
1589,4387,undirected,91
1589,4270,undirected,2
4387,4270,undirected,1
2034,2565,undirected,1
2147,1767,undirected,1
2147,1312,undirected,2
2147,744,undirected,1
2147,1757,undirected,1
2147,515,undirected,1
1767,1312,undirected,1
1767,744,undirected,1
1767,1757,undirected,1
1767,515,undirected,1
1312,744,undirected,1
1312,1757,undirected,1
1312,515,undirected,1
744,1757,undirected,1
744,515,undirected,1
1757,515,undirected,1
333,324,undirected,8
333,1589,undirected,665
333,3740,undirected,15
324,3740,undirected,1
1589,3740,undirected,10
3883,556,undirected,2
3883,531,undirected,1
3883,819,undirected,1
2344,556,undirected,4
2344,531,undirected,1
2344,819,undirected,1
556,531,undirected,1
556,819,undirected,2
531,819,undirected,1
4462,1589,undirected,29
839,138,undirected,1
839,1663,undirected,1
138,1663,undirected,1
140,2814,undirected,1
140,2813,undirected,1
2814,2813,undirected,1
1589,1366,undirected,112
1589,1478,undirected,2
4186,1312,undirected,1
1219,1663,undirected,3
414,1663,undirected,7
414,3478,undirected,1
1663,3478,undirected,5
3803,1312,undirected,58
3803,397,undirected,1
1312,397,undirected,1
2924,4467,undirected,2
1589,3672,undirected,8
333,1589,undirected,127
1663,1589,undirected,22
1589,3897,undirected,1
1150,1133,undirected,3
1150,1312,undirected,5
1133,1312,undirected,12
3733,1589,undirected,1
1663,1115,undirected,1
1663,120,undirected,1
1115,120,undirected,1
1570,324,undirected,7
3428,333,undirected,2
3428,1237,undirected,1
333,1237,undirected,7
3756,1502,undirected,1
3756,1570,undirected,1
1502,1570,undirected,1
1663,1703,undirected,9
3700,4380,undirected,1
4387,559,undirected,2
4387,4083,undirected,25
4387,1693,undirected,4
4387,1201,undirected,2
559,4083,undirected,2
559,1589,undirected,2
559,1693,undirected,2
