Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
1842,Hits,3,3,5,0.328073,0.336058,0,0.005498,0.005498,1,0.000209,0,1,3,0.014744
1681,GP3,3,3,5,0.285659,0.295314,81.518015,0.001812,0.001812,1,0.000214,0,0.666667,2,0.007187
1985,insomniaprobs,3,3,5,0.282596,0.293409,0,0.000802,0.000802,1,0.000216,0,1,3,0.005669
1977,ineedsleep,3,3,5,0.282596,0.293409,0,0.000802,0.000802,1,0.000216,0,1,3,0.005669
4247,wahhh,3,3,5,0.282596,0.293409,0,0.000802,0.000802,1,0.000216,0,1,3,0.005669
4038,tix,3,3,5,0.322835,0.332325,0,0.003314,0.003314,1,0.000213,0,1,3,0.011332
1611,Glosto,3,3,5,0.322835,0.332325,0,0.003314,0.003314,1,0.000213,0,1,3,0.011332
1914,ibizatraining,3,3,5,0.333886,0.344941,0,0.004005,0.004005,1,0.00021,0,1,3,0.016768
3620,SloaneStephens,3,3,5,0.293323,0.305093,0,0.002171,0.002171,1,0.000216,0,1,3,0.008583
698,Cetkovska,3,3,5,0.293323,0.305093,0,0.002171,0.002171,1,0.000216,0,1,3,0.008583
225,AusOpen,3,3,5,0.293323,0.305093,0,0.002171,0.002171,1,0.000216,0,1,3,0.008583
2989,Parlez,3,3,5,0.285126,0.294335,0,0.001176,0.001176,1,0.000216,0,1,3,0.005085
3764,stourhead,3,3,5,0.285126,0.294335,0,0.001176,0.001176,1,0.000216,0,1,3,0.005085
2760,nationaltrust,3,3,5,0.285126,0.294335,0,0.001176,0.001176,1,0.000216,0,1,3,0.005085
2568,MelbourneJazz,3,3,5,0.289544,0.297505,0,0.00129,0.00129,1,0.000209,0,1,3,0.005056
481,blownaway,3,3,5,0.300468,0.31104,0,0.00353,0.00353,1,0.000215,0,1,3,0.009588
3668,SomethingCorporate,3,3,5,0.300468,0.31104,0,0.00353,0.00353,1,0.000215,0,1,3,0.009588
1481,futura2000,3,3,4,0.360205,0.37389,0,0.011464,0.011464,1,0.000209,0,1,3,0.036676
2490,MadisonKeys,3,3,5,0.293323,0.305093,0,0.002181,0.002181,1,0.000212,0,1,3,0.008627
3494,serieswin,3,4,5,0.309067,0.32459,1.253968,0.003472,0.003472,1,0.000214,0,0.666667,2,0.015862
773,Coaching,3,3,5,0.302356,0.313817,0,0.00287,0.00287,1,0.00021,0,1,3,0.010242
